City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ushuaia,AR,-54.8,-68.3,44.22,89,81,11.65,light rain
80,Mamit,IN,23.9333,92.4833,72.34,24,84,2.57,broken clouds
81,Pangnirtung,CA,66.1451,-65.7125,-22.09,85,18,4.5,few clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,0,12.66,clear sky
83,Airai,TL,-8.9266,125.4092,62.22,94,18,1.68,few clouds
84,Hermanus,ZA,-34.4187,19.2345,62.8,69,100,14.2,light rain
85,Mitzic,GA,0.7821,11.549,86.02,49,71,5.88,broken clouds
86,Barrow,US,71.2906,-156.7887,-23.78,69,0,9.22,clear sky
87,Mujiayingzi,CN,42.1167,118.7833,38.05,43,100,7.31,light rain
88,Alugan,PH,12.2188,125.4808,79.99,87,41,7.38,scattered clouds
89,Santa Maria,BR,-29.6842,-53.8069,69.19,69,67,9.24,broken clouds
90,Fortuna,US,40.5982,-124.1573,46.65,95,100,6.91,overcast clouds
91,New Norfolk,AU,-42.7826,147.0587,62.1,97,33,1.63,scattered clouds
92,Taksimo,RU,56.3444,114.8794,3.0,94,100,1.77,overcast clouds
93,Coihaique,CL,-45.5752,-72.0662,57.15,35,40,6.91,scattered clouds
94,Avarua,CK,-21.2078,-159.775,75.25,100,20,1.14,few clouds
95,Port Alfred,ZA,-33.5906,26.891,71.22,91,100,20.87,moderate rain
96,Luderitz,NA,-26.6481,15.1594,69.66,64,90,21.25,overcast clouds
97,Aklavik,CA,68.2191,-135.0107,-27.56,95,11,5.55,few clouds
98,Chapais,CA,49.7834,-74.8492,-9.62,91,100,9.6,overcast clouds
99,Norman Wells,CA,65.282,-126.8329,-14.76,70,20,11.5,few clouds
100,Lokosovo,RU,61.1333,74.8167,4.73,94,99,3.56,overcast clouds
101,Urucara,BR,-2.5364,-57.76,81.46,80,34,3.27,scattered clouds
102,Vao,NC,-22.6667,167.4833,79.56,78,73,14.97,broken clouds
103,Carnarvon,AU,-24.8667,113.6333,78.87,69,0,19.57,clear sky
