City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Bengkulu,ID,76.59,light rain,-3.8004,102.2655,
278,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,
279,Monywa,MM,83.82,broken clouds,22.1167,95.1333,
280,Pamekasan,ID,78.42,overcast clouds,-7.1568,113.4746,
284,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,
285,Balabac,PH,79.81,clear sky,7.9868,117.0645,
286,Ancud,CL,71.22,scattered clouds,-41.8697,-73.8203,
289,Rosarito,MX,79.41,few clouds,32.3333,-117.0333,
291,Chengam,IN,70.12,scattered clouds,12.3,78.8,
294,Mananara,MG,73.42,light rain,-16.1667,49.7667,
297,Caravelas,BR,78.82,clear sky,-17.7125,-39.2481,
299,Takoradi,GH,80.91,broken clouds,4.8845,-1.7554,
300,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,
301,San Marcos,US,79.05,clear sky,33.1434,-117.1661,
302,Bajil,YE,80.2,few clouds,15.0584,43.2851,
304,Puerto Leguizamo,CO,78.64,overcast clouds,-0.1934,-74.7819,
307,Namatanai,PG,79.61,broken clouds,-3.6667,152.4333,
308,Poum,NC,80.92,clear sky,-20.2333,164.0167,
309,Samarai,PG,82.67,light rain,-10.6167,150.6667,
310,Cordoba,AR,80.76,few clouds,-31.4135,-64.1811,
315,Luang Prabang,LA,75.6,scattered clouds,19.8856,102.1347,
318,Carutapera,BR,75.61,overcast clouds,-1.195,-46.02,
325,Lahat,ID,72.99,overcast clouds,-3.8,103.5333,
329,Pundaguitan,PH,81.93,broken clouds,6.3711,126.1689,
330,Hobyo,SO,78.35,broken clouds,5.3505,48.5268,
333,Boyolangu,ID,75.18,overcast clouds,-8.1181,111.8935,
335,Isangel,VU,84.31,few clouds,-19.55,169.2667,
336,Caucaia,BR,81.03,light rain,-3.7361,-38.6531,
339,Hambantota,LK,77.56,overcast clouds,6.1241,81.1185,
341,Nicolas Bravo,MX,87.03,overcast clouds,18.45,-88.9167,
345,Grand Gaube,MU,80.38,broken clouds,-20.0064,57.6608,
347,Bilma,NE,70.57,clear sky,18.6853,12.9164,
348,Bentiu,SS,89.53,overcast clouds,9.2333,29.8333,
349,Tautira,PF,80.24,broken clouds,-17.7333,-149.15,
350,Benguela,AO,78.67,overcast clouds,-12.5763,13.4055,
351,Bonfim,BR,89.69,overcast clouds,3.0833,-59.95,
354,Basi,IN,70.14,clear sky,26.8333,76.0333,
358,Wad Madani,SD,82.87,scattered clouds,14.4012,33.5199,
359,Nova Russas,BR,73.96,moderate rain,-4.7067,-40.5631,
360,Donghai,CN,72.95,broken clouds,22.9459,115.642,
367,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,
369,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,
371,Sur,OM,78.69,clear sky,22.5667,59.5289,
372,Sun City West,US,77.23,clear sky,33.662,-112.3413,
